JrId	JournalTitle	MedAbbr	ISSN_NLM	EISSN_NLM	IsoAbbr	NlmId
2887	Changing times	Changing Times	0009-143X		Changing Times	9877765
2888	Ceskoslovenska stomatologie	Cesk Stomatol	0009-0654		Cesk Stomatol	414240
2889	Ceskoslovenske zdravotnictvi	Cesk Zdrav	0009-0689		Cesk Zdrav	416604
2892	Chart	Chart	0069-2778		Chart	7502539
2893	C.H.A.C. review	CHAC Rev	0226-5923		CHAC Rev	8006835
2894	Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases	Zhonghua Jie He He Hu Xi Za Zhi	1001-0939		Zhonghua Jie He He Hu Xi Za Zhi	8712226
2895	Community nursing	Community Nurs	0898-4891		Community Nurs	8506876
2896	Chemioterapia : international journal of the Mediterranean Society of Chemotherapy	Chemioterapia	0392-906X		Chemioterapia	8401667
2900	Chemistry in Britain	Chem Br	0009-3106		Chem Br	5130
2903	Chemical dependencies	Chem Depend	0276-5608		Chem Depend	8101573
2905	Zhonghua bing li xue za zhi Chinese journal of pathology	Zhonghua Bing Li Xue Za Zhi	0529-5807		Zhonghua Bing Li Xue Za Zhi	5331
2906	Zhonghua hu li za zhi = Chinese journal of nursing	Zhonghua Hu Li Za Zhi	0254-1769		Zhonghua Hu Li Za Zhi	8201928
2907	Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae	Zhongguo Yi Xue Ke Xue Yuan Xue Bao	1000-503X		Zhongguo Yi Xue Ke Xue Yuan Xue Bao	8006230
2908	Zhong yao tong bao (Beijing, China : 1981)	Zhong Yao Tong Bao	0254-0029		Zhong Yao Tong Bao	8303080
2909	Zhong xi yi jie he za zhi = Chinese journal of modern developments in traditional medicine / Zhongguo Zhong xi yi jie he yan jiu hui (chou), Zhong yi yan jiu yuan, zhu ban	Zhong Xi Yi Jie He Za Zhi	0254-9034		Zhong Xi Yi Jie He Za Zhi	8207427
2912	Chirurgia italiana	Chir Ital	0009-4773		Chir Ital	151753
2916	The Chicago Medical School quarterly	Chic Med Sch Q	0009-3629		Chic Med Sch Q	7505427
2919	Children today	Child Today	0361-4336		Child Today	320227
2921	Child welfare	Child Welfare	0009-4021		Child Welfare	372735
2922	Child's brain	Childs Brain	0302-2803		Childs Brain	7505428
2923	Chirurgisches Forum fur experimentelle und klinische Forschung	Chir Forum Exp Klin Forsch	0303-6227		Chir Forum Exp Klin Forsch	435763
2924	Zhonghua Minguo wei sheng wu xue za zhi = Chinese journal of microbiology	Zhonghua Min Guo Wei Sheng Wu Xue Za Zhi	0009-4587		Zhonghua Min Guo Wei Sheng Wu Xue Za Zhi	204022
2925	Zhonghua Minguo wei sheng wu ji mian yi xue za zhi = Chinese journal of microbiology and immunology	Zhonghua Min Guo Wei Sheng Wu Ji Mian Yi Xue Za Zhi	0253-2662		Zhonghua Min Guo Wei Sheng Wu Ji Mian Yi Xue Za Zhi	8008067
2929	Le Chirurgien-dentiste de France	Chir Dent Fr	0009-4838		Chir Dent Fr	151751
2930	Chirurgia maxillofacialis & plastica	Chir Maxillofac Plast	0009-4781		Chir Maxillofac Plast	373156
2933	Chirurgia e patologia sperimentale	Chir Patol Sper	0009-4757		Chir Patol Sper	372731
2934	Dent, contemporary dentistry	Dent	1015-0013		Dent	8800660
2935	Dentist (Waco, Tex.)	Dentist	0887-5669		Dentist	8510873
2937	Chirurgia (Bucharest, Romania : 1990)	Chirurgia (Bucur)	1221-9118		Chirurgia (Bucur)	9213031
2938	Zhonghua fu chan ke za zhi	Zhonghua Fu Chan Ke Za Zhi	0529-567X		Zhonghua Fu Chan Ke Za Zhi	16210370R
2940	Christian nurse	Christ Nurse (Mysore)	0009-5540		Christ Nurse (Mysore)	47107
2942	Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine]	Zhonghua Yu Fang Yi Xue Za Zhi	0253-9624		Zhonghua Yu Fang Yi Xue Za Zhi	7904962
2944	Zhonghua fang she xue za zhi Chinese journal of radiology	Zhonghua Fang She Xue Za Zhi	1005-1201		Zhonghua Fang She Xue Za Zhi	16210360R
2945	The Chronicle	Chronicle	0030-2201		Chronicle	7505430
2946	Chronobiologia	Chronobiologia	0390-0037		Chronobiologia	434557
2947	Zhonghua kou qiang ke za zhi [Chinese journal of stomatology]	Zhonghua Kou Qiang Ke Za Zhi	0412-4014		Zhonghua Kou Qiang Ke Za Zhi	16210440R
2948	Zhonghua kou qiang yi xue za zhi = Zhonghua kouqiang yixue zazhi = Chinese journal of stomatology	Zhonghua Kou Qiang Yi Xue Za Zhi	1002-0098		Zhonghua Kou Qiang Yi Xue Za Zhi	8711066
2949	Ciba Foundation study group	Ciba Found Study Group	0069-4037		Ciba Found Study Group	373160
2950	Zhonghua nei ke za zhi	Zhonghua Nei Ke Za Zhi	0578-1426		Zhonghua Nei Ke Za Zhi	16210490R
2951	Ciba Foundation symposium	Ciba Found Symp	0300-5208		Ciba Found. Symp.	356636
2952	Zhonghua shen jing jing shen ke za zhi = Chinese journal of neurology and psychiatry	Zhonghua Shen Jing Jing Shen Ke Za Zhi	0412-4057		Zhonghua Shen Jing Jing Shen Ke Za Zhi	16210510R
2954	Zhonghua wai ke za zhi [Chinese journal of surgery]	Zhonghua Wai Ke Za Zhi	0529-5815		Zhonghua Wai Ke Za Zhi	153611
2955	Dentalpractice	Dentalpractice	0199-736X		Dentalpractice	9879018
2956	Czechoslovak medicine	Czech Med	0139-9179		Czech Med	7805372
2958	CVP	CVP	0091-4738		CVP	375425
2959	Community and junior college journal	Community Jr Coll J	0190-3160		Community Jr Coll J	9877754
2960	Dental School quarterly / the University of Texas Health Science Center at San Antonio	Dent Sch Q	0896-1247		Dent Sch Q	8709415
2961	Cross-reference	Crossreference	0045-9100		Crossreference	1300264
2962	Computers in healthcare	Comput Healthc	0745-1075		Comput Healthc	8303437
2963	Cirugia Bucal	Cir Bucal	0578-3194		Cir Bucal	9879224
2967	[Zhonghua yan ke za zhi] Chinese journal of ophthalmology	Zhonghua Yan Ke Za Zhi	0412-4081		Zhonghua Yan Ke Za Zhi	16210540R
2968	Cirugia, ginecologia y urologia	Cir Ginecol Urol	0412-5878		Cir Ginecol Urol	1252763
2971	Zhonghua jie he he hu xi xi ji bing za zhi = Chinese journal of tuberculosis and respiratory diseases	Zhonghua Jie He He Hu Xi Xi Ji Bing Za Zhi	0253-2689		Zhonghua Jie He He Hu Xi Xi Ji Bing Za Zhi	7904961
2972	Boletin - Circulo Argentino de Odontologia	Bol Circ Argent Odontol	0069-4207		Bol Circ Argent Odontol	7505270
2973	Diagnostic and clinical immunology	Diagn Clin Immunol	0895-0458		Diagn Clin Immunol	8705862
2975	Ji sheng chong xue yu ji sheng chong bing za zhi = Journal of parasitology & parasitic diseases	Ji Sheng Chong Xue Yu Ji Sheng Chong Bing Za Zhi	1000-1808		Ji Sheng Chong Xue Yu Ji Sheng Chong Bing Za Zhi	8404889
2976	Zhongguo ji sheng chong xue yu ji sheng chong bing za zhi = Chinese journal of parasitology & parasitic diseases	Zhongguo Ji Sheng Chong Xue Yu Ji Sheng Chong Bing Za Zhi	1000-7423		Zhongguo Ji Sheng Chong Xue Yu Ji Sheng Chong Bing Za Zhi	8709992
2977	Case studies in health administration	Case Stud Health Adm	0193-9394		Case Stud Health Adm	7707775
2978	Dental assisting	Dent Assist (Waco Tx)	0744-012X		Dent Assist (Waco Tx)	8211482
2980	The CLAO journal : official publication of the Contact Lens Association of Ophthalmologists, Inc	CLAO J	0733-8902		CLAO J	8302065
2981	Clinical and experimental obstetrics & gynecology	Clin Exp Obstet Gynecol	0390-6663		Clin Exp Obstet Gynecol	7802110
2982	The Cleft palate journal	Cleft Palate J	0009-8701		Cleft Palate J	372737
2983	Cleveland Clinic quarterly	Cleve Clin Q	0009-8787		Cleve Clin Q	373162
2984	Zhen ci yan jiu = Acupuncture research / [Zhongguo yi xue ke xue yuan Yi xue qing bao yan jiu suo bian ji]	Zhen Ci Yan Jiu	1000-0607		Zhen Ci Yan Jiu	8507710
2985	Cincinnati Dental Society bulletin (1979)	Cincinnati Dent Soc Bull	0894-0975		Cincinnati Dent Soc Bull	8702474
2987	Clinical allergy	Clin Allergy	0009-9090		Clin. Allergy	311172
2989	Clinical anesthesia	Clin Anesth	0009-9112		Clin Anesth	317206
2991	Clinical bulletin	Clin Bull	0047-6706		Clin Bull	1257734
2994	Clinical EEG (electroencephalography)	Clin Electroencephalogr	0009-9155		Clin Electroencephalogr	236454
2997	Clinical and experimental hypertension. Part B, Hypertension in pregnancy	Clin Exp Hypertens B	0730-0085		Clin Exp Hypertens B	8207433
2998	Horumon to rinsho. Clinical endocrinology	Horumon To Rinsho	0045-7167		Horumon To Rinsho	420561
3001	Clinica europea	Clin Eur	0009-9007		Clin Eur	151752
3004	Clinical and experimental pharmacology & physiology. Supplement	Clin Exp Pharmacol Physiol Suppl	0143-9294		Clin Exp Pharmacol Physiol Suppl	7611484
3005	Clinics in gastroenterology	Clin Gastroenterol	0300-5089		Clin Gastroenterol	365261
3006	Clinics in podiatry	Clin Podiatry	0742-0668		Clin Podiatry	8501789
3007	Clinical engineering	Clin Eng	0149-290X		Clin Eng	7706553
3008	Clinical engineering news	Clin Eng News	0094-7245		Clin Eng News	432523
3012	Clinical and experimental dialysis and apheresis	Clin Exp Dial Apheresis	0276-5497		Clin Exp Dial Apheresis	8201411
3013	Clinical and experimental neurology	Clin Exp Neurol	0196-6383		Clin Exp Neurol	7909724
3019	Clinica y laboratorio	Clin Lab (Zaragoza)	0366-6751		Clin Lab (Zaragoza)	16230410R
3020	Dentist news	Dent News	0770-884X		Dent News	8804896
3021	Refu'at ha-shinayim (Tel Aviv, Israel : 1983)	Refuat Hashinayim	0334-1402		Refuat Hashinayim	8500286
3024	Dental practice	Dent Pract	0011-8710		Dent Pract	7803067
3026	Deutsche Zeitschrift fur Mund-, Kiefer- und Gesichts-Chirurgie	Dtsch Z Mund Kiefer Gesichtschir	0343-3137		Dtsch Z Mund Kiefer Gesichtschir	8700280
3027	Bulletin on training, trends, techniques, topics	Bull Train	0272-8486		Bull Train	9877737
3030	Purchasing administration	Purch Adm	0192-4311		Purch Adm	9877739
3032	Clinical engineering information service	Clin Eng Inf Serv	0277-0393		Clin Eng Inf Serv	8507387
3034	Clinical neurosurgery	Clin Neurosurg	0069-4827		Clin Neurosurg	2985141R
3035	Training and development journal	Train Dev J	0041-0861		Train Dev J	9877738
3036	Clinical and experimental rheumatology	Clin Exp Rheumatol	0392-856X		Clin. Exp. Rheumatol.	8308521
3038	Clinical notes on respiratory diseases	Clin Notes Respir Dis	0009-9198		Clin Notes Respir Dis	400665
3039	Clinical immunology reviews	Clin Immunol Rev	0277-9366		Clin Immunol Rev	8202349
3040	Clinical and investigative medicine. Medecine clinique et experimentale	Clin Invest Med	0147-958X	1488-2353	Clin Invest Med	7804071
3043	Occupational outlook quarterly / United States Department of Labor, Bureau of Labor Statistics in cooperation with Veterans Administration	OCCUP Outlook Q	0199-4786		OCCUP Outlook Q	9875077
3045	Clinical oncology	Clin Oncol	0305-7399		Clin Oncol	7511426
3047	La Clinica ortopedica	Clin Ortop	0009-9023		Clin Ortop	372601
3049	Clinics in obstetrics and gynaecology	Clin Obstet Gynaecol	0306-3356		Clin Obstet Gynaecol	7509601
3050	La Clinica ostetrica e ginecologica	Clin Ostet Ginecol	0393-9227		Clin Ostet Ginecol	434562
3051	La Clinica otorinolaringoiatrica	Clin Otorinolaringoiatr	0009-904X		Clin Otorinolaringoiatr	372602
3052	La Clinica pediatrica	Clin Pediatr (Bologna)	0009-9058		Clin Pediatr (Bologna)	372603
3053	Clinical preventive dentistry	Clin Prev Dent	0163-9633		Clin Prev Dent	8004895
3056	Dental historian : Lindsay Club newsletter	Dent Hist	0958-6687		Dent Hist	8803742
3059	Clinical physiology and biochemistry	Clin Physiol Biochem	0252-1164		Clin Physiol Biochem	8305885
3061	Clinical proceedings - Children's Hospital of the District of Columbia	Clin Proc Child Hosp Dist Columbia	0009-4129		Clin Proc Child Hosp Dist Columbia	7503483
3062	Colorado medicine	Colo Med	0199-7343		Colo Med	8003550
3064	Diabetes research (Edinburgh, Scotland)	Diabetes Res	0265-5985		Diabetes Res.	8502339
3065	Diagnostic imaging in clinical medicine	Diagn Imaging Clin Med	0254-881X		Diagn Imaging Clin Med	8400594
3066	Diagnostic immunology	Diagn Immunol	0735-3111		Diagn Immunol	8308082
3067	Digitale Bilddiagnostik	Digitale Bilddiagn	0724-7591		Digitale Bilddiagn	8405849
3070	Clinical research	Clin Res	0009-9279		Clin Res	7806789
3072	Clinical science	Clin Sci	0009-9287		Clin Sci	367732
3073	Clinical science and molecular medicine	Clin Sci Mol Med	0301-0538		Clin Sci Mol Med	367540
3074	Clinical science and molecular medicine. Supplement	Clin Sci Mol Med Suppl	0144-4107		Clin Sci Mol Med Suppl	7907311
3075	Dental journal of Zambia : official publication of the Zambia Dental Association	Dent J Zamb	1010-7339		Dent J Zamb	8909577
3076	Clinical symposia (Summit, N.J. : 1957)	Clin Symp	0009-9295		Clin Symp	103677
3078	Clinical pharmacy	Clin Pharm	0278-2677		Clin Pharm	8207437
3081	La Clinica terapeutica	Clin Ter	0009-9074	1972-6007	Clin Ter	372604
3082	Clinical toxicology	Clin Toxicol	0009-9309		Clin. Toxicol.	205535
3083	Clinics in rheumatic diseases	Clin Rheum Dis	0307-742X		Clin Rheum Dis	7604943
3084	Dentistry (Loma Linda, Calif.)	Dentistry (Loma Linda)	1057-3534		Dentistry (Loma Linda)	9102062
3085	Clinica (Bologna, Italy)	Clinica	0366-6778		Clinica	372600
3088	Hospital trustee	Hosp Trustee	0704-0407		Hosp Trustee	7810267
3090	Clinique (Paris, France)	Clinique (Paris)	0009-935X		Clinique (Paris)	9427241
3091	Infection control rounds	Infect Control Rounds	0272-1619		Infect Control Rounds	8007156
3092	Clio medica (Amsterdam, Netherlands)	Clio Med	0045-7183		Clio Med	57664
3096	Coeur et medecine interne	Coeur Med Interne	0010-0234		Coeur Med Interne	373165
3104	Collected works on cardio-pulmonary disease	Coll Works Cardiopulm Dis	0069-5319		Coll Works Cardiopulm Dis	413664
3106	Colorado nurse	Colo Nurse	0010-1680		Colo Nurse	16320400R
3107	Communique (Milwaukee, Wis.)	Communique	0887-4557		Communique	9879661
3108	Communications in behavioral biology. Part A: [Original articles]	Commun Behav Biol	0010-3608		Commun Behav Biol	326114
3110	Community health	Community Health (Bristol)	0010-3837		Community Health (Bristol)	226630
3114	Commitment	Commitment	0145-8698		Commitment	7700182
3121	Communicating nursing research	Commun Nurs Res	0160-1652		Commun Nurs Res	7707277
3122	Communications in psychopharmacology	Commun Psychopharmacol	0145-5699		Commun Psychopharmacol	7706729
3128	Sogo kango. Comprehensive nursing, quarterly	Sogo Kango	0038-0660		Sogo Kango	313161
3130	Compensation review	Compens Rev	0010-4248		Compens Rev	9877814
3131	Complement (Basel, Switzerland)	Complement	0253-5076		Complement	8409977
3138	Computers in hospitals	Comput Hosp	0274-631X		Comput Hosp	9879292
3139	Concours medical	Concours Med	0010-5309		Concours Med	2984731R
3140	Complement and inflammation	Complement Inflamm	1012-8204		Complement Inflamm	8903074
3141	Conditional reflex	Cond Reflex	0010-5392		Cond Reflex	412676
3142	Conector	Conector	0325-2426		Conector	7610427
3143	Contemporary administrator	Contemp Adm	0191-9873		Contemp Adm	9878791
3145	Confinia neurologica	Confin Neurol	0010-5678		Confin Neurol	7600680
3146	The Compendium of continuing education in dentistry	Compend Contin Educ Dent	0734-0338		Compend Contin Educ Dent	8110106
3148	Community outlook	Community Outlook	0262-8759		Community Outlook	7900730
3149	Confinia psychiatrica. Borderland of psychiatry. Grenzgebiete der Psychiatrie. Les Confins de la psychiatrie	Confin Psychiatr	0010-5686		Confin Psychiatr	207314
3150	Consensus development conference summaries / National Institutes of Health	Consens Dev Conf Summ Natl Inst Health	0737-4674		Consens Dev Conf Summ Natl Inst Health	8106383
3151	Consumer health perspectives	Consum Health Perspect	0191-3921		Consum Health Perspect	7901088
3153	Worklife	Worklife	0361-7718		Worklife	9877742
3155	Contemporary pharmacy practice	Contemp Pharm Pract	0162-3761		Contemp Pharm Pract	7905177
3156	Connecticut medicine	Conn Med	0010-6178		Conn Med	372745
3157	Connecticut nursing news (Meriden, Conn. : 1980)	Conn Nurs News	0278-4092		Conn Nurs News	9878914
3159	Contact point	Contact Point	0010-7301		Contact Point	417430
3160	Contemporary topics in immunobiology	Contemp Top Immunobiol	0093-4054		Contemp Top Immunobiol	314145
3162	Contemporary neurology series	Contemp Neurol Ser	0069-9446		Contemp Neurol Ser	71075
3164	Contemporary topics in molecular immunology	Contemp Top Mol Immunol	0090-8800		Contemp Top Mol Immunol	363025
3165	Contact and intraocular lens medical journal	Contact Intraocul Lens Med J	0360-1358		Contact Intraocul Lens Med J	7509610
3166	Contributions to sensory physiology	Contrib Sens Physiol	0069-9705		Contrib Sens Physiol	6021
3167	Contributions to microbiology and immunology	Contrib Microbiol Immunol	0301-3081		Contrib. Microbiol. Immunol.	401476
3169	Contributions to primatology	Contrib Primatol	0301-4231		Contrib Primatol	420475
3170	Contemporary surgery	Contemp Surg	0045-8341		Contemp Surg	321423
3171	Contributions to nephrology	Contrib Nephrol	0302-5144	1662-2782	Contrib Nephrol	7513582
3172	Dimensions/NBS	Dimensions (Wash)	0093-0458		Dimensions (Wash)	411412
3173	El Cooperador dental; cooperativismo, informacion y ciencia odontologica	Coop Dent (B Aires)	0069-9799		Coop Dent (B Aires)	16420030R
3174	Contemporary anesthesia practice	Contemp Anesth Pract	0191-247X		Contemp Anesth Pract	7900421
3176	Contract healthcare	Contract Healthc	0891-5059		Contract Healthc	9883667
3177	Contemporary issues in clinical biochemistry	Contemp Issues Clin Biochem	0265-6701		Contemp Issues Clin Biochem	8508326
3178	Diabetes research and clinical practice. Supplement	Diabetes Res Clin Pract Suppl	1572-1671		Diabetes Res Clin Pract Suppl	8609985
3179	Consumer reports	Consum Rep	0010-7174		Consum Rep	215776
3180	Contemporary administrator for long-term care	Contemp Adm Long Term Care	0745-2837		Contemp Adm Long Term Care	9880785
3181	The Cornell veterinarian	Cornell Vet	0010-8901		Cornell Vet	74245
3182	Drug metabolism and drug interactions	Drug Metabol Drug Interact	0792-5077	2191-0162	Drug Metabol Drug Interact	8904736
3183	Le Corps medical	Corps Med (Ettelbruck)	0376-7582		Corps Med (Ettelbruck)	7600506
3184	Cornell law review	Cornell Law Rev	0010-8847		Cornell Law Rev	7703647
3188	Cost containment	Cost Containment	0198-9782		Cost Containment	8002944
3190	CRC critical reviews in biochemistry	CRC Crit Rev Biochem	0045-6411		CRC Crit. Rev. Biochem.	330403
3191	Cosmetologica	Cosmetologica	0070-055X		Cosmetologica	247470
3192	CRC critical reviews in bioengineering	CRC Crit Rev Bioeng	0045-642X		CRC Crit Rev Bioeng	1307350
3194	CRC critical reviews in clinical laboratory sciences	CRC Crit Rev Clin Lab Sci	0590-8191		CRC Crit Rev Clin Lab Sci	1247734
3195	CRC critical reviews in clinical radiology and nuclear medicine	CRC Crit Rev Clin Radiol Nucl Med	0091-6536		CRC Crit Rev Clin Radiol Nucl Med	372257
3196	CRC critical reviews in microbiology	CRC Crit Rev Microbiol	0045-6454		CRC Crit Rev Microbiol	1301620
3197	CRC critical reviews in radiological sciences	CRC Crit Rev Radiol Sci	0007-9014		CRC Crit Rev Radiol Sci	372260
3201	CRC critical reviews in toxicology	CRC Crit Rev Toxicol	0045-6446		CRC Crit Rev Toxicol	1305020
3204	Critical care update	Crit Care Update	0162-7252		Crit Care Update	7802334
3205	CRC Critical reviews in immunology	CRC Crit Rev Immunol	0197-3355		CRC Crit Rev Immunol	8106390
3207	Cross-reference on human resources management	Crossref Hum Resour Manage	0190-0447		Crossref Hum Resour Manage	7805961
3209	Cuore e circolazione	Cuore Circ	0300-8894		Cuore Circ	1270323
3210	CRC critical reviews in diagnostic imaging	CRC Crit Rev Diagn Imaging	0147-6750		CRC Crit Rev Diagn Imaging	7705846
3211	CRC critical reviews in clinical neurobiology	CRC Crit Rev Clin Neurobiol	0742-941X		CRC Crit Rev Clin Neurobiol	8506657
3213	Current concepts in nutrition	Curr Concepts Nutr	0090-0443		Curr Concepts Nutr	347207
3215	Current developments in psychopharmacology	Curr Dev Psychopharmacol	0097-8361		Curr Dev Psychopharmacol	7513831
3217	Current medicine and drugs	Curr Med Drugs	0590-4048		Curr Med Drugs	1260300
3220	Currents in modern biology	Curr Mod Biol	0011-4014		Curr Mod Biol	430261
3221	Current practice in orthopaedic surgery	Curr Pract Orthop Surg	0070-203X		Curr Pract Orthop Surg	16440080R
3222	Current problems in clinical biochemistry	Curr Probl Clin Biochem	0300-1725		Curr Probl Clin Biochem	353507
3223	Current problems in dermatology	Curr Probl Dermatol	1421-5721	1662-2944	Curr. Probl. Dermatol.	147371
3225	Current practice in obstetric and gynecologic nursing	Curr Pract Obstet Gynecol Nurs	0361-9249		Curr Pract Obstet Gynecol Nurs	7606119
3230	Current psychiatric therapies	Curr Psychiatr Ther	0070-2080		Curr Psychiatr Ther	142101
3232	Current topics in comparative pathobiology	Curr Top Comp Pathobiol	0090-8584		Curr Top Comp Pathobiol	435531
3233	Current topics in cellular regulation	Curr Top Cell Regul	0070-2137		Curr. Top. Cell. Regul.	2984740R
3234	Current topics in developmental biology	Curr Top Dev Biol	0070-2153	1557-8933	Curr. Top. Dev. Biol.	163114
3235	Current topics in experimental endocrinology	Curr Top Exp Endocrinol	0091-7397		Curr Top Exp Endocrinol	334341
3237	Current topics in microbiology and immunology	Curr Top Microbiol Immunol	0070-217X		Curr. Top. Microbiol. Immunol.	110513
3238	Current topics in eye research	Curr Top Eye Res	0190-2970		Curr Top Eye Res	7904214
3239	Current studies in hematology and blood transfusion	Curr Stud Hematol Blood Transfus	0258-0330		Curr Stud Hematol Blood Transfus	8600673
3240	Current topics in molecular endocrinology	Curr Top Mol Endocrinol	0094-6761		Curr Top Mol Endocrinol	7500587
3241	Current practice in pediatric nursing	Curr Pract Pediatr Nurs	0361-9257		Curr Pract Pediatr Nurs	7606120
3242	Current topics in hematology	Curr Top Hematol	0190-1486		Curr Top Hematol	7901811
3243	Current topics in pathology. Ergebnisse der Pathologie	Curr Top Pathol	0070-2188		Curr Top Pathol	244762
3244	Current topics in radiation research quarterly	Curr Top Radiat Res Q	0011-3964		Curr Top Radiat Res Q	1276745
3245	Cutis	Cutis	0011-4162	2326-6929	Cutis	6440
3246	Cytobios	Cytobios	0011-4529		Cytobios	207227
3247	Current population reports. Series P-28, Special censuses	Curr Popul Rep Spec Censuses	0270-6660		Curr Popul Rep Spec Censuses	8004908
3248	Cytogenetics and cell genetics	Cytogenet Cell Genet	0301-0171		Cytogenet. Cell Genet.	367735
3249	Cytogenetics	Cytogenetics	0011-4537		Cytogenetics	367734
3250	Currents in alcoholism	Curr Alcohol	0161-8504		Curr Alcohol	7801711
3253	Dalhousie dental journal	Dalhousie Dent J	0418-3010		Dalhousie Dent J	9881875
3255	Danish medical bulletin	Dan Med Bull	0907-8916	1603-9629	Dan Med Bull	66040
3256	Dansk tidsskrift for farmaci	Dan Tidsskr Farm	0011-6513		Dan Tidsskr Farm	373174
3258	Dapim refuiim. Folia medica	Dapim Refuiim	0366-9637		Dapim Refuiim	71461
3259	DE; the journal of dental engeering	DE J Dent Eng	0385-0129		DE J Dent Eng	1264223
3261	Forbes	Forbes	0015-6914		Forbes	9877777
3262	Delaware medical journal	Del Med J	0011-7781		Del Med J	370077
3263	Indian journal of malariology	Indian J Malariol	0367-8326		Indian J Malariol	17540010R
3265	Fund raising management	Fund Raising Manage	0016-268X		Fund Raising Manage	9877778
3267	Dens	Dens (Curitiba)	0100-2775		Dens (Curitiba)	7604963
3268	Dens	Dens	0304-1476		Dens	7508531
3269	"""Dens sapiens"""	Dens Sapiens	0011-8443		Dens Sapiens	16520190R
3271	Dental Angles	Dent Angles	0070-363X		Dent Angles	9875607
3272	Dental anaesthesia and sedation	Dent Anaesth Sedat	0311-0699		Dent Anaesth Sedat	7806536
3273	Evaluation	Evaluation	0090-4449		Evaluation	415527
3274	The Dental assistant	Dent Assist	0011-8508		Dent Assist	16520250R
3275	Dental concepts	Dent Concepts	0011-8540		Dent Concepts	413403
3277	Dental dimensions	Dent Dimens	0191-2542		Dent Dimens	7900430
3279	Dental Dienst; Fachzeitschrift fur den Dental-Markt; technisches Fachblatt fur Prothetik	Dent Dienst	0011-8559		Dent Dienst	16520290R
3280	Dental delineator	Dent Delin	0070-3648		Dent Delin	16520280R
3281	Dental digest	Dent Dig	0011-8567		Dent Dig	342643
3282	Dental echo	Dent Echo (Heidelb)	0011-8575		Dent Echo (Heidelb)	372754
3283	The NCSDHA dental hygienist	NCSDHA Dent Hyg	0275-486X		NCSDHA Dent Hyg	8012076
3284	Dental health	Dent Health (London)	0011-8605		Dent Health (London)	16520340R
3285	Dento-maxillo-facial radiology. Supplement	Dentomaxillofac Radiol Suppl	0349-490X		Dentomaxillofac Radiol Suppl	8300885
3286	The Dental journal of Malaysia & Singapore	Dent J Malaysia Singapore	0011-8648		Dent J Malaysia Singapore	7513696
3287	Das Dental-Labor. Le Laboratoire dentaire. The Dental laboratory	Dent Labor (Munch)	0011-8656		Dent Labor (Munch)	16520470R
3289	Dental management	Dent Manage	0011-8680		Dent Manage	253341
3290	Dental Mirror	Dent Mirror (Quezon City)	0011-8699		Dent Mirror (Quezon City)	9875602
3292	The Dental practitioner and dental record	Dent Pract Dent Rec	0011-8729		Dent Pract Dent Rec	354411
3293	Dentistry in Japan	Dent Jpn (Tokyo)	0070-3737		Dent Jpn (Tokyo)	226633
3295	Dental Mirror	Dent Mirror (Atlanta)	0029-3075		Dent Mirror (Atlanta)	9881872
3296	DP. Dental practice	Dent Pract (Ewell)	0419-8859		Dent Pract (Ewell)	265037
3297	Dental images	Dent Images	0070-3664		Dent Images	253667
3299	Dental laboratory review	Dent Lab Rev	0011-8672		Dent Lab Rev	16520500R
3300	Dental hygiene	Dent Hyg (Chic)	0091-3979		Dent Hyg (Chic)	367545
3301	Dental laboratorie bladet	Dent Lab Bl	0070-3672		Dent Lab Bl	16520480R
3302	Dental press	Dent Press	0391-5883		Dent Press	7804084
3303	Dental radiography and photography	Dent Radiogr Photogr	0045-9941		Dent Radiogr Photogr	373177
3304	Dental student	Dent Stud	0011-877X		Dent Stud	242232
3305	Dental survey	Dent Surv	0011-8788		Dent Surv	2984744R
3307	The Dental technician	Dent Tech	0011-8796		Dent Tech	376545
3308	Dentago	Dentago	0415-4134		Dentago	16520210R
3310	Dentoscope	Dentoscope	0045-9968		Dentoscope	147414
3312	Dermatologia internationalis	Dermatol Int	0096-1108		Dermatol Int	243670
3313	Dentisuto = Dentist	Dentisuto	0387-8465		Dentisuto	7903695
3314	Dermatologische Monatschrift	Dermatol Monatsschr	0011-9083		Dermatol Monatsschr	232053
3315	Dental dialogue (Bombay, India)	Dent Dialogue	0970-4167		Dent Dialogue	8604122
3316	Dental economics - oral hygiene	Dent Econ	0011-8583		Dent Econ	135416
3317	Dermatologische Wochenschrift	Dermatol Wochenschr	0366-8940		Dermatol Wochenschr	232054
3318	Dermatologica	Dermatologica	0011-9075		Dermatologica	211607
3319	Dental update	Dent Update	0305-5000		Dent Update	7805969
3321	Developments in ophthalmology	Dev Ophthalmol	0250-3751	1662-2790	Dev Ophthalmol	8010321
3322	Desmos	Desmos	0011-9474		Desmos	16530440R
3323	Detroit dental bulletin	Detroit Dent Bull	0011-9601		Detroit Dent Bull	16530480R
3325	Advances in behavioral biology	Adv Behav Biol	0099-6246		Adv Behav Biol	1304163
3326	Advances in the biosciences	Adv Biosci	0065-3446		Adv Biosci	225721
